Horodateur,"Ce questionnaire est réalisé par des étudiants de Master 2 de l'ISPM dans le cadre d'un examen académique (projet ORIENT'IA, un assistant d'aide à l'orientation).

Il est entièrement anonyme : aucun nom, e-mail ou numéro de téléphone n'est collecté. Vos réponses seront utilisées uniquement dans le cadre de ce projet, sous forme anonymisée. Vous pouvez arrêter de répondre à tout moment. Répondre prend moins de 5 minutes.",Consentement (obligatoire),Quelle était votre série de bac ?,Quelles étaient vos matières préférées au lycée ? (3 max),Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Mathématiques],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Sciences expérimentales],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Langues et communication],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Économie-gestion],Quelles compétences aviez-vous au moment de choisir vos études supérieures ?,Quels étaient vos centres d'intérêt à cette époque ? (4 max),"Aviez-vous déjà réalisé des projets ou activités marquants (club, association, petit business, compétition…) ?",Quel environnement de travail recherchiez-vous ?,Quel type de métier visiez-vous ? (2 max),"Aujourd'hui, vous êtes… ?",Quelle filière / quel parcours suivez-vous actuellement ?,En quelle année d'étude êtes-vous ?,À quel point êtes-vous satisfait(e) de votre choix de filière ?,"Si c'était à refaire, choisiriez-vous la même filière ?",Quelle filière / quel domaine d'études avez-vous suivi ?,Quel métier exercez-vous aujourd'hui ?,Depuis combien d'années travaillez-vous ?,"Avec le recul, votre formation était-elle adaptée au métier que vous exercez ?","Avec le recul, auriez-vous choisi une autre filière ?"
26/08/2026 13:35:30,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, SVT",4,3,3,2,Électronique / bricolage technique,"Technologie / informatique, Entrepreneuriat / business",Scoutisme,Bureau,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,3,Oui,,,,,
26/08/2026 13:36:27,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Informatique / Technologie",3,2,2,2,"Analyse de données / logique, Créativité / design, Travail en équipe","Technologie / informatique, Art / design / audiovisuel, BTP / construction",,Bureau,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,3,Non,,,,,
26/08/2026 13:36:48,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Français / Littérature, Arts, Sport",1,4,3,1,"Rédaction / communication, Organisation / gestion de projet, Vente / négociation, Travail en équipe, Autre","Sciences, Finance / comptabilité, Art / design / audiovisuel, Communication / médias, BTP / construction, Santé / social",oui,Bureau,"Technique / ingénierie, Gestion / management, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,2,Non,,,,,
26/08/2026 13:38:08,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,SVT,4,4,2,3,Programmation,Technologie / informatique,J'ai créer un petit site web avec des interactions juste pour le plaisir,Mixte / peu importe,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",L2,3,Non,,,,,
26/08/2026 13:38:26,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Mathématiques,4,3,3,4,"Programmation, Analyse de données / logique, Travail en équipe","Technologie / informatique, Entrepreneuriat / business, Art / design / audiovisuel, Communication / médias, Agriculture / environnement",,Bureau,"Création / design, Recherche / enseignement",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,2,Non,,,,,
26/08/2026 13:41:25,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Informatique / Technologie",3,3,3,3,Programmation,"Technologie / informatique, Entrepreneuriat / business",Club,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",L1,1,Oui,,,,,
26/08/2026 13:43:02,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",4,5,3,5,"Analyse de données / logique, Organisation / gestion de projet, Travail en équipe","Sciences, Art / design / audiovisuel",,Mixte / peu importe,"Technique / ingénierie, Gestion / management",Professionnel(le) en activité,,,,,Informatique,Project Manager,3 à 7 ans,5,"Non, le même choix"
26/08/2026 13:43:14,ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie, Français / Littérature",2,3,4,2,Rédaction / communication,"Technologie / informatique, Sciences, Art / design / audiovisuel",Club de Karate,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"ESIIA — Électronique, Systèmes Informatiques et IA",M2,4,Oui,,,,,
26/08/2026 13:45:20,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, SVT, Informatique / Technologie",3,2,2,2,"Programmation, Analyse de données / logique, Travail en équipe","Technologie / informatique, Entrepreneuriat / business, Art / design / audiovisuel",Oui,Bureau,"Technique / ingénierie, Gestion / management, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M1,3,Oui,,,,,
26/08/2026 13:45:33,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Sport",2,3,3,1,"Rédaction / communication, Organisation / gestion de projet","Art / design / audiovisuel, Communication / médias, BTP / construction",Non,Mixte / peu importe,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,GCA — Génie Civil et Architecture,M2,3,Non,,,,,
