fichier,ligne,population,motif,valeur
export_reponses.csv,8,professionnel,filiere non rattachable a un parcours ISPM,Informatique
export_reponses.csv,13,professionnel,filiere non rattachable a un parcours ISPM,Anglais
export_reponses.csv,16,professionnel,filiere non rattachable a un parcours ISPM,Informatique 
export_reponses.csv,17,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,26,professionnel,filiere non rattachable a un parcours ISPM,Gestion et management 
export_reponses.csv,28,professionnel,filiere non rattachable a un parcours ISPM,Informatique 
export_reponses.csv,32,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,45,professionnel,filiere non rattachable a un parcours ISPM,Informatique
export_reponses.csv,47,professionnel,filiere non rattachable a un parcours ISPM,Informatique
export_reponses.csv,55,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,56,professionnel,filiere non rattachable a un parcours ISPM,Informatique
export_reponses.csv,57,professionnel,filiere non rattachable a un parcours ISPM,Paramed
export_reponses.csv,69,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,71,professionnel,filiere non rattachable a un parcours ISPM,Info
export_reponses.csv,74,professionnel,filiere non rattachable a un parcours ISPM,Communication 
export_reponses.csv,75,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,77,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,79,etudiant,filiere non rattachable a un parcours ISPM,Autre établissement — précisez la filière : ___
export_reponses.csv,83,professionnel,filiere non rattachable a un parcours ISPM,Langues
