id,population,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere,satisfaction
etu-0002,etudiant,C,4,3,3,2,Mathematiques|SVT,Electronique / bricolage technique,Technologie / informatique|Entrepreneuriat / business,Bureau,Entrepreneur / independant,IGGLIA,3
etu-0003,etudiant,D,3,2,2,2,Mathematiques|Informatique / Technologie,Analyse de donnees / logique|Creativite / design|Travail en equipe,Technologie / informatique|Art / design / audiovisuel|BTP / construction,Bureau,Technique / ingenierie|Creation / design,IGGLIA,3
etu-0004,etudiant,D,1,4,3,1,Physique-Chimie|SVT|Francais / Litterature|Arts|Sport,Redaction / communication|Organisation / gestion de projet|Vente / negociation|Travail en equipe,Sciences|Finance / comptabilite|Art / design / audiovisuel|Communication / medias|BTP / construction|Sante / social,Bureau,Technique / ingenierie|Gestion / management|Creation / design,IGGLIA,2
etu-0005,etudiant,D,4,4,2,3,SVT,Programmation,Technologie / informatique,Mixte,Technique / ingenierie,IGGLIA,3
etu-0006,etudiant,D,4,3,3,4,Mathematiques,Programmation|Analyse de donnees / logique|Travail en equipe,Technologie / informatique|Entrepreneuriat / business|Art / design / audiovisuel|Communication / medias|Agriculture / environnement,Bureau,Creation / design|Recherche / enseignement,IGGLIA,2
etu-0007,etudiant,D,3,3,3,3,Mathematiques|Informatique / Technologie,Programmation,Technologie / informatique|Entrepreneuriat / business,Bureau,Technique / ingenierie,IGGLIA,1
etu-0009,etudiant,C,2,3,4,2,Mathematiques|Physique-Chimie|Francais / Litterature,Redaction / communication,Technologie / informatique|Sciences|Art / design / audiovisuel,Bureau,Technique / ingenierie,ESIIA,4
etu-0010,etudiant,D,3,2,2,2,Mathematiques|SVT|Informatique / Technologie,Programmation|Analyse de donnees / logique|Travail en equipe,Technologie / informatique|Entrepreneuriat / business|Art / design / audiovisuel,Bureau,Technique / ingenierie|Gestion / management|Creation / design,IGGLIA,3
etu-0011,etudiant,D,2,3,3,1,Physique-Chimie|SVT|Sport,Redaction / communication|Organisation / gestion de projet,Art / design / audiovisuel|Communication / medias|BTP / construction,Mixte,Technique / ingenierie|Creation / design,GCA,3
etu-0012,etudiant,D,3,3,4,2,Mathematiques|SVT|Sport,Analyse de donnees / logique|Redaction / communication|Creativite / design|Organisation / gestion de projet,Sciences|Art / design / audiovisuel|Sante / social,Mixte,Technique / ingenierie|Entrepreneur / independant,IGGLIA,3
etu-0014,etudiant,D,3,4,4,3,Mathematiques|Physique-Chimie|SVT|Langues etrangeres,Redaction / communication|Creativite / design|Travail en equipe,Technologie / informatique|Sciences|Tourisme / hotellerie,Bureau,Technique / ingenierie|Gestion / management|Entrepreneur / independant,IGGLIA,4
etu-0015,etudiant,D,3,3,3,3,Mathematiques,Analyse de donnees / logique,Technologie / informatique,Bureau,Technique / ingenierie,IGGLIA,3
etu-0018,etudiant,D,3,4,2,1,Mathematiques,,Technologie / informatique|Entrepreneuriat / business|Droit / justice,Mixte,Entrepreneur / independant,IMTICIA,1
etu-0019,etudiant,D,4,3,3,3,Mathematiques|SVT|Sport,Creativite / design,Technologie / informatique|Sante / social,Bureau,Technique / ingenierie|Gestion / management,IGGLIA,3
etu-0020,etudiant,A2,3,2,4,1,SVT|Francais / Litterature|Sport,Redaction / communication,Agriculture / environnement,Terrain / exterieur,Technique / ingenierie,AEE,5
etu-0021,etudiant,D,3,1,2,1,Physique-Chimie,,,Mixte,Technique / ingenierie,ESIIA,3
etu-0022,etudiant,D,1,4,3,2,SVT,Redaction / communication|Travail en equipe,Sciences|Sante / social,Laboratoire,Recherche / enseignement|Entrepreneur / independant,PIP,5
pro-0023,professionnel,C,4,4,3,3,Mathematiques|Physique-Chimie|SVT|Informatique / Technologie,Programmation,Technologie / informatique|Sciences|Entrepreneuriat / business,Mixte,Technique / ingenierie|Entrepreneur / independant,IGGLIA,4
etu-0024,etudiant,S,2,2,1,1,Sport,Programmation|Creativite / design|Organisation / gestion de projet|Travail en equipe,Sciences|Art / design / audiovisuel,Bureau,Technique / ingenierie|Entrepreneur / independant,IMTICIA,3
etu-0025,etudiant,D,3,3,4,3,Mathematiques|Physique-Chimie|Sport,Programmation|Electronique / bricolage technique,Technologie / informatique|Sciences,Bureau,Technique / ingenierie,ESIIA,4
etu-0027,etudiant,D,3,2,3,2,Mathematiques|Informatique / Technologie,Programmation|Analyse de donnees / logique|Creativite / design|Organisation / gestion de projet|Travail en equipe,Technologie / informatique|Entrepreneuriat / business|Finance / comptabilite|Art / design / audiovisuel,Bureau,Technique / ingenierie|Creation / design,IGGLIA,4
etu-0029,etudiant,A2,2,3,3,3,Francais / Litterature|Langues etrangeres|Histoire-Geographie|Economie / Gestion|Arts,Analyse de donnees / logique|Redaction / communication|Organisation / gestion de projet,Art / design / audiovisuel,Terrain / exterieur,Gestion / management|Creation / design|Entrepreneur / independant,EMP,5
etu-0030,etudiant,C,4,3,4,3,Mathematiques|Francais / Litterature,Analyse de donnees / logique|Redaction / communication|Organisation / gestion de projet,Art / design / audiovisuel|Droit / justice,Mixte,Technique / ingenierie|Gestion / management,IGGLIA,4
etu-0031,etudiant,C,2,2,3,2,Physique-Chimie|Histoire-Geographie,Travail en equipe,BTP / construction,Mixte,Technique / ingenierie|Gestion / management|Entrepreneur / independant,GCA,5
etu-0033,etudiant,C,4,3,3,3,Mathematiques|Physique-Chimie,Analyse de donnees / logique,Entrepreneuriat / business|Agriculture / environnement,Terrain / exterieur,Entrepreneur / independant,GCA,4
