id,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere
syn-00000,S,4,4,3,4,Physique-Chimie|Histoire-Geographie|Arts,Electronique / bricolage technique|Analyse de donnees / logique,Art / design / audiovisuel|Sciences|Droit / justice,Terrain / exterieur,Creation / design,EMII
syn-00001,C,4,4,3,3,Arts|Economie / Gestion,Creativite / design|Vente / negociation|Organisation / gestion de projet,Finance / comptabilite|Communication / medias|Tourisme / hotellerie,Atelier / usine,Commerce / relation client,CAA
syn-00002,S,4,4,4,3,Physique-Chimie|Francais / Litterature|Sport,Creativite / design|Redaction / communication|Analyse de donnees / logique|Electronique / bricolage technique,BTP / construction|Art / design / audiovisuel|Communication / medias,Terrain / exterieur,Commerce / relation client,IMTICIA
syn-00003,A1,3,3,4,2,Economie / Gestion|Informatique / Technologie|SVT,Organisation / gestion de projet|Travail en equipe,Sciences|Art / design / audiovisuel|Entrepreneuriat / business|Sante / social,Mixte,Entrepreneur / independant|Creation / design,CAA
syn-00004,D,4,5,5,2,Economie / Gestion|Sport|Francais / Litterature,Redaction / communication|Vente / negociation,Entrepreneuriat / business|Communication / medias|Agriculture / environnement|Droit / justice,Mixte,Recherche / enseignement,DTJA
syn-00005,S,2,5,2,3,SVT|Langues etrangeres,Analyse de donnees / logique|Travail en equipe|Creativite / design|Redaction / communication,BTP / construction|Sciences|Entrepreneuriat / business,Terrain / exterieur,Creation / design|Entrepreneur / independant,CAA
syn-00006,S,3,3,3,1,Mathematiques|Sport,Travail en equipe|Electronique / bricolage technique,Sciences|Art / design / audiovisuel,Bureau,Entrepreneur / independant|Technique / ingenierie,IGGLIA
syn-00007,D,5,3,3,4,Langues etrangeres|Francais / Litterature,Redaction / communication|Travail en equipe|Programmation|Analyse de donnees / logique,Sciences|Droit / justice|Communication / medias|Sante / social,Laboratoire,Commerce / relation client,ISAIA
syn-00008,D,1,3,3,4,Histoire-Geographie|Langues etrangeres,Travail en equipe|Vente / negociation,Communication / medias|Entrepreneuriat / business,Mixte,Commerce / relation client|Entrepreneur / independant,CAA
syn-00009,A1,3,2,2,1,SVT|Sport|Mathematiques,Creativite / design|Analyse de donnees / logique|Programmation|Travail en equipe,Droit / justice|Sciences|Communication / medias|Agriculture / environnement,Laboratoire,Technique / ingenierie,TEE
syn-00010,Technique industrielle,1,3,3,3,Sport|Histoire-Geographie|Arts,Travail en equipe|Electronique / bricolage technique,Droit / justice|Technologie / informatique,Atelier / usine,Recherche / enseignement|Creation / design,EMII
syn-00011,S,4,4,3,2,Arts|Sport|SVT,Organisation / gestion de projet|Electronique / bricolage technique|Travail en equipe|Redaction / communication,Sciences|Droit / justice,Bureau,Technique / ingenierie|Commerce / relation client,DTJA
syn-00012,S,1,5,4,4,Histoire-Geographie|Langues etrangeres|Physique-Chimie,Redaction / communication|Electronique / bricolage technique|Analyse de donnees / logique,Communication / medias|Sciences|Tourisme / hotellerie|Droit / justice,Atelier / usine,Commerce / relation client,EMII
syn-00013,D,4,4,2,3,Mathematiques|Sport|SVT,Analyse de donnees / logique|Redaction / communication|Programmation,Droit / justice|Tourisme / hotellerie,Mixte,Creation / design|Recherche / enseignement,ISAIA
syn-00014,S,3,4,3,3,Physique-Chimie|Langues etrangeres|Histoire-Geographie,Organisation / gestion de projet|Travail en equipe|Electronique / bricolage technique|Redaction / communication,Droit / justice|Communication / medias|BTP / construction|Art / design / audiovisuel,Bureau,Creation / design|Recherche / enseignement,EMII
syn-00015,C,4,2,3,4,Langues etrangeres|Informatique / Technologie|Physique-Chimie,Redaction / communication|Electronique / bricolage technique|Travail en equipe,BTP / construction|Tourisme / hotellerie,Terrain / exterieur,Entrepreneur / independant,GCA
syn-00016,D,4,2,2,3,Sport|Francais / Litterature,Vente / negociation|Electronique / bricolage technique|Programmation,Entrepreneuriat / business|Communication / medias|Technologie / informatique,Terrain / exterieur,Creation / design,ESIIA
syn-00017,L,2,5,2,4,Histoire-Geographie|Physique-Chimie,Electronique / bricolage technique|Redaction / communication|Analyse de donnees / logique,Entrepreneuriat / business|Communication / medias|BTP / construction|Droit / justice,Atelier / usine,Entrepreneur / independant,CAA
syn-00018,A1,2,4,4,3,Informatique / Technologie|Francais / Litterature,Programmation|Electronique / bricolage technique|Analyse de donnees / logique,Droit / justice|Technologie / informatique|Sante / social,Atelier / usine,Recherche / enseignement|Creation / design,DTJA
syn-00019,Technique genie civil,3,5,2,3,SVT|Francais / Litterature|Informatique / Technologie,Programmation|Electronique / bricolage technique|Redaction / communication,BTP / construction|Sciences|Technologie / informatique|Droit / justice,Bureau,Creation / design|Recherche / enseignement,DTJA
syn-00020,S,2,4,4,3,SVT|Economie / Gestion|Informatique / Technologie,Organisation / gestion de projet|Electronique / bricolage technique|Programmation|Redaction / communication,Entrepreneuriat / business|Tourisme / hotellerie|BTP / construction,Laboratoire,Recherche / enseignement,IAA
syn-00021,D,3,5,3,3,SVT|Arts,Electronique / bricolage technique|Creativite / design,Tourisme / hotellerie|Agriculture / environnement,Bureau,Technique / ingenierie|Creation / design,AEE
syn-00022,D,2,3,3,2,Histoire-Geographie|Physique-Chimie|SVT,Analyse de donnees / logique|Organisation / gestion de projet,Agriculture / environnement|Entrepreneuriat / business|Sciences|Sante / social,Atelier / usine,Technique / ingenierie|Creation / design,IAA
syn-00023,S,2,3,3,3,Economie / Gestion|Histoire-Geographie|Sport,Vente / negociation|Organisation / gestion de projet|Travail en equipe|Electronique / bricolage technique,Finance / comptabilite|Entrepreneuriat / business|Sciences|Droit / justice,Mixte,Entrepreneur / independant,CAA
