,AEE,CAA,DTJA,EMII,EMP,ESIIA,FIC,GCA,IAA,ICMP,IGGLIA,IMTICIA,ISAIA,PIP,TEE,TEH
AEE,9,1,0,2,0,0,0,0,0,2,0,1,1,1,0,0
CAA,2,48,5,5,5,0,3,2,1,1,3,0,2,3,1,3
DTJA,2,2,33,5,2,0,2,0,1,0,2,1,0,3,3,4
EMII,0,0,0,8,0,3,0,3,1,5,2,0,0,1,0,0
EMP,1,2,2,0,18,0,7,0,2,1,0,0,1,1,0,0
ESIIA,1,0,0,6,0,5,0,0,2,3,1,4,0,1,0,2
FIC,1,4,1,1,6,0,18,1,0,1,4,0,6,1,1,3
GCA,0,0,1,1,1,1,0,9,0,3,1,0,0,1,0,1
IAA,2,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1
ICMP,0,0,0,1,0,0,0,0,0,10,0,0,1,2,1,0
IGGLIA,1,1,0,1,1,3,0,0,0,2,11,3,3,1,0,2
IMTICIA,0,0,1,1,3,2,1,1,4,0,5,21,0,2,1,2
ISAIA,2,0,0,5,2,0,2,2,0,4,4,2,30,4,0,0
PIP,5,1,0,0,1,2,0,1,4,1,0,0,1,19,0,1
TEE,0,1,6,1,2,0,3,0,3,1,0,0,0,2,17,9
TEH,0,3,2,1,1,1,0,0,2,1,1,1,1,0,9,31
